step,div_protein,true_label_1,pred_label_1,true_label_2,pred_label_2,true_label_3,pred_label_3,true_label_4,pred_label_4,true_label_5,pred_label_5,phase_dna,phase_rna,phase_protein
0,0.20062643574285446,0.3713712566391512,0.39289202128563216,0.950419708764741,0.9999999926034726,0.7329845907186041,0.3106943354581591,0.6043454528807564,0.46661177561961875,0.14469593913461776,0.3533493573432107,0.0,0.15,0.15
1,0.43740565698475725,0.14921963852513573,0.16876027246280548,0.04728011702127071,0.2157123069957425,0.8683697281892765,0.6084211823555966,0.6068464619856356,0.5649129345588877,0.7129857281850492,0.6382316648130375,0.0,0.15,0.15
2,0.5227668992473292,0.011575336381023744,0.22212444025155856,0.96984124273804,0.8766198586796958,0.8343338048444535,0.6878009122137633,0.21103080348177275,0.2391476037539525,0.17126122741706276,0.2614767992495731,0.0,0.15,0.15
3,0.2790358981308795,0.17708189503006447,0.16301167820427384,0.29633676133247305,0.40048516894197894,0.5238892116300916,0.390260140302866,0.4346132241872374,0.46908692814232505,0.28388296631507715,0.5943991460989835,0.0,0.15,0.15
4,0.5672572386837704,0.6125997120228988,0.5883975769952077,0.12964880437846568,0.19513288350772742,0.28919208114885725,0.40529697436130163,0.3678425018605591,0.3470333715680151,0.4535717632531302,0.28187511966497786,0.0,0.15,0.15
5,0.44190190093660453,0.7887826229562369,0.5069699205045687,0.19053722115707614,0.06062241844604331,0.5132728895226059,0.39051322052892123,0.5979884758839998,0.5513893084770365,0.03190532067167831,0.39418881718304727,0.0,0.15,0.15
6,0.3294988144241591,0.6082205861558195,0.528175266248717,0.1610443851826354,0.23047577489027027,0.06006315319787657,0.20624815161653892,0.9609142403277757,0.5563725562452002,0.9781199815694551,0.845985968210386,0.0,0.15,0.15
7,0.39442309223422944,0.8123871643911071,0.7099774892760509,0.2967126615062489,0.1836941563264563,0.09297611477069068,0.26335982739608826,0.6914695357388881,0.6504486794739908,0.43718614095506936,0.4371695204199724,0.0,0.15,0.15
8,0.4558326912521723,0.11470307164641148,0.2339769968957041,0.4895192929813294,0.7591474485090991,0.029125189162573974,0.11408576712859891,0.9206326796908839,0.7976351452576261,0.2504794811720596,0.31449930315005026,0.0,0.15,0.15
9,0.40760053914124117,0.6641051505775682,0.4411763353978903,0.3038935246694587,0.4565239298572166,0.5191587699236485,0.33943541287418055,0.5514565962001846,0.525309299810138,0.17437981268730338,0.2644662344827808,0.0,0.15,0.15
10,0.45387559924463694,0.976234046859402,0.7876000465515065,0.7727711135042837,0.7417357396785293,0.9423498574049229,0.8389793149025361,0.9058771951886033,0.7046281977296394,0.5995729639605327,0.5547923017636364,0.0,0.15,0.15
11,0.3079326406920634,0.9277364288768315,0.6019641121556908,0.07804700927819122,0.14370334831310352,0.192168211751926,0.24816819890689776,0.040893005342556514,0.25033083044354526,0.31898706952205363,0.31061457180849145,0.0,0.15,0.15
12,0.4169360824036078,0.38574169191456475,0.43819158223026944,0.2630562999804597,0.4875471169262451,0.8305954569655171,0.6935044437097742,0.3580599991002359,0.5901227851111016,0.27328557173928514,0.2968357993791262,0.0,0.15,0.15
13,0.258628550309502,0.5423018076164952,0.3190250273594412,0.131096008310394,0.027838303749598226,0.8038169946988726,0.7933147123433005,0.07074733259312273,0.2595720859183801,0.999999989705901,0.8301076355295781,0.0,0.15,0.15
14,0.38887739386513,0.7756380651709562,0.633960095791663,0.18956784086110415,0.1462866656726902,0.0,0.3413813943008847,0.8250741552306582,0.7191349374279846,0.71173475432639,0.66449944098734,0.0,0.15,0.15
15,0.30960923585352107,0.7316870400862518,0.6518509786555188,0.7688631640801448,0.7559548590460317,0.06913683405141588,0.14634079992651108,0.3598034082577862,0.2997179929100373,0.10336556301351653,0.3164099511670894,0.0,0.15,0.15
16,0.32644700574102337,0.8679958967456132,0.8638074892533785,0.6191488745151805,0.7466830907482892,0.328292878610897,0.47517066528431623,0.05955599630865734,0.12447484281819306,0.30421708694744753,0.29438182210530367,0.0,0.15,0.15
17,0.5236093175210438,0.3212000687803186,0.29064816035293245,0.7267084855162373,0.6758517804997397,0.6377015043084896,0.6345475277917255,0.898124705868499,0.5700437766084492,0.4701915253144224,0.6565957955012086,0.0,0.15,0.15
18,0.5091310120594269,0.11221875673032373,0.14903180786297324,0.710154472543861,0.6078209815262156,0.7620338076613651,0.49029867656504633,0.5662872848161409,0.3467320588320388,0.7777300543724729,0.7791343449351391,0.0,0.15,0.15
19,0.46091381209071774,0.4925944589358316,0.42498377582930874,0.5173996267417753,0.3668862474038876,0.42580226938621757,0.22691186608084343,0.02072616699124522,0.11704201414909624,0.0951533090979559,0.43346294061845436,0.0,0.15,0.15
20,0.29076872353274213,0.022598966034766743,0.07905561174398472,0.632415529234705,0.4262625832099828,0.3116025366389318,0.2626453805236941,0.512626395643468,0.4610576820943336,0.918346720069391,0.5087933266033426,0.0,0.15,0.15
21,0.36835915503051986,0.2440567668876501,0.24715585776377116,0.4037270304434051,0.40651655467041803,0.7567529759718682,0.6733578160679093,0.2277878905374536,0.49779782932647654,0.0633326872709315,0.35794691879061785,0.0,0.15,0.15
22,0.5213097699979183,0.28518357103396674,0.2517521285162593,0.15163202691105204,0.12075146616774789,0.9324607003523306,0.999999993024359,0.8176001783388029,0.7063596241119879,0.6361209042505169,0.6068961618572414,0.0,0.15,0.15
23,0.4141716913639905,0.8764909549276625,0.6686318091672108,0.801646358278236,0.7471328621761957,0.1826710231332266,0.1845871433154115,0.9035677690809963,0.6960873800019189,0.5392930498146409,0.4883641452633233,0.0,0.15,0.15
24,0.6319329539981695,0.8114141776795407,0.6246805275913832,0.8951536282947474,0.7295576939789392,0.3152827300467324,0.21413766632118947,0.10689145268403734,0.2244401843375351,0.21872751903618498,0.31526698484328075,0.0,0.15,0.15
25,0.4393317839394372,0.4248062971131792,0.5308558069593582,0.8161579030779381,0.4275654588879312,0.8628753466065663,0.7899316584488748,0.001924779748422505,0.2770946802672104,0.5098571361387976,0.31389941495875134,0.0,0.15,0.15
26,0.4192049116490032,0.4149495139109493,0.32980653127116305,0.2132353641874448,0.25097511780262727,0.11536832896814465,0.0,0.33857529977114853,0.2865532207660768,0.9547293909541053,0.6937573408864931,0.0,0.15,0.15
27,0.3690883535797499,0.3191870021831185,0.4871518467872435,0.5134110076854443,0.6218990005223748,0.7037498492294123,0.6995960954303512,0.365060786909192,0.4686367050988979,0.984450903567688,0.7106827006564415,0.0,0.15,0.15
28,0.41335409047822824,0.9689789474827656,0.6770924441688705,0.24325920580668042,0.37268355367427075,0.49613467937605915,0.28351049568410364,0.30117322567000987,0.4239034201728565,0.2773064310527871,0.3538386829048664,0.0,0.15,0.15
29,0.38475301636194564,0.02814678120030613,0.07058668153097448,0.6052533943960897,0.6629974799977633,0.5016138808977118,0.46942714461678303,0.04725766600111091,0.13247228518489734,0.2709302350981072,0.4926850908326082,0.0,0.15,0.15
30,0.47081086766885905,0.9139035409882235,0.5820386384160036,0.23089493041609988,0.37831181615738224,0.14062222137956643,0.23611703385102537,0.4931622869304624,0.44369238249043624,0.9987271423882499,0.8682691943699298,0.0,0.15,0.15
31,0.49567023167945845,0.236700398878787,0.1162170319713108,0.6685612556571681,0.7339707211392739,0.7628758562018625,0.581290056703307,0.23678732803464986,0.2446814587578664,0.7337219253082422,0.7743350101262844,0.0,0.15,0.15
32,0.32140105394920504,0.3645027797072913,0.2583436260033148,0.6282626255370426,0.4341992454448338,0.633637635139155,0.3420159858450981,0.5403229847019284,0.5761070522987787,0.07703398916937398,0.12090378183593854,0.0,0.15,0.15
33,0.2668767046442222,0.8397362489180525,0.8317138142517433,0.3130692823143006,0.12573035741038338,0.18261901251868937,0.38574358354528643,0.036360240753612376,0.18753596276667742,0.5923598521130505,0.5679039604371596,0.0,0.15,0.15
34,0.21637946268967034,0.6793954235301563,0.48341038843596956,0.005295805954536447,0.1882636171591134,0.511112312094362,0.42332490809710066,0.22544380972449338,0.4146725918283722,0.6482360642725005,0.6248029670511827,0.0,0.15,0.15
35,0.4507991326912544,0.16789468513517272,0.21833382061643505,0.6875848036251484,0.5986537189614884,0.38463077750448726,0.3337692774981072,0.9485385852848732,0.8232740457502243,0.1256542274196058,0.1078073125415244,0.0,0.15,0.15
36,0.2896633393826127,0.33734516903473877,0.17255884110787514,0.10332212878386376,0.2998062652964747,0.9274118054940521,0.7339283079749928,0.8880725343339061,0.728069459484062,0.2496164713823617,0.3627281727349433,0.0,0.15,0.15
37,0.18471094070475172,0.6615250311254054,0.5656070559278543,0.8153560065191913,0.6716466943846782,0.5546065232058676,0.37244366700858017,0.5340879867733653,0.5269926231746119,0.2330539487632489,0.25048759000050963,0.0,0.15,0.15
38,0.43885786045309644,0.08529016712047739,0.1908710617268167,0.8962913245139652,0.5960548601866049,0.9029186157737766,0.8108015284819055,0.6394121018979813,0.6294319780813193,0.3330894295795432,0.43981486223223015,0.0,0.15,0.15
39,0.6492999517432791,0.3456227564278314,0.42356896078413303,0.7230150088967361,0.8597050311972563,0.899581164406346,0.806878136120692,0.897996100249181,0.5537307405528223,0.7869004144356653,0.5702821251711755,0.0,0.15,0.15
40,0.3993929088460107,0.6432764152323516,0.45110430297465964,0.07364323001544718,0.19499666792949208,0.15750608103548108,0.23954448853418442,0.9096715169879294,0.6836441938563979,0.6083528842332255,0.6069650197660232,0.0,0.15,0.15
41,0.4838490774451642,0.0,0.011881605792535142,0.09117885170496007,0.1339237332336551,0.6638783907665726,0.379314205572753,0.0,0.03861455322949757,0.14962620621276104,0.159575117402836,0.0,0.15,0.15
42,0.4081829358547565,0.5484391364532082,0.3513978354310087,0.6885535353402988,0.7636070152648592,0.6522344213483864,0.42124051498635795,0.2231770282713152,0.5802859310568712,0.7172131477172224,0.7071591573423702,0.0,0.15,0.15
43,0.39011103468088576,0.23181491244898422,0.26424911427802183,0.31774330221738756,0.2709466019484852,0.7476120227085877,0.6674865656020369,0.6562428866607439,0.5263684311456817,0.8582877929123484,0.7585441301151195,0.0,0.15,0.15
44,0.49190764829877687,0.6591147531680491,0.7970786129481291,0.5635119620527436,0.5389572942715198,0.08894293268036715,0.26117465322152117,0.3692209784451335,0.3157161474653317,0.2570907489932268,0.36200525922615334,0.0,0.15,0.15
45,0.3709725455811349,0.23866668803466715,0.43584693789875917,0.9729784497484228,0.7767695430638286,0.3910501941209087,0.5425232150626146,0.9030460467037302,0.8358205469570069,0.6337891564729964,0.5465796702955914,0.0,0.15,0.15
46,0.42673923140719033,0.798576949009855,0.6862581329027286,0.4970673043447363,0.614224553047797,0.5765041626728796,0.5406087364137127,0.4962827187386005,0.308007157404011,0.18507387066648057,0.24576693121271398,0.0,0.15,0.15
47,0.4321697806196014,0.7250238284191894,0.5449176961832252,0.2725905710584351,0.32878661026224115,0.018962334773083043,0.15501887743672316,0.6520069454227714,0.6058242028897307,0.16640829287907696,0.17186497254025412,0.0,0.15,0.15
48,0.33319095463569515,0.9466274214355299,0.757612224999415,0.9536718208078789,0.9060750999990923,0.9174944591353645,0.7695794196895015,0.37170811038836266,0.5124520127136031,0.0,0.2879880735406216,0.0,0.15,0.15
49,0.4992042349536523,0.9342870883542468,0.7577702263718784,0.42173782867961346,0.4383147261486937,0.9697491853120382,0.5629891450818053,0.9759154839500391,0.8553542716463252,0.8621851850937341,0.7697572008898641,0.0,0.15,0.15
50,0.38250402433045916,0.2899585183061432,0.311843340728361,0.3781441546524161,0.26661523980920004,0.8531954261598511,0.5457885862097636,0.3175074321325192,0.4722854130801569,0.15856631751024677,0.2991806232471353,0.0,0.15,0.15
51,0.32442548405071553,0.5566397234869258,0.53141006797131,0.9356887678545922,0.8254498809246787,0.6966980296882425,0.5589980682321966,0.5752303130689415,0.6363565026793453,0.0841232507491028,0.20342199402719013,0.0,0.15,0.15
52,0.4536509843570404,0.6158060907259544,0.5088791507905869,0.990222394982773,0.8084617390372808,0.13576823554995385,0.12044970219478432,0.5225620671774506,0.46388230540319547,0.8872653331047585,0.7871057330257518,0.0,0.15,0.15
53,0.3101532018208963,0.7436425546468638,0.5328744562458299,0.6937343625487119,0.7908174033667054,0.703210179207461,0.46247188000265294,0.3608473987685898,0.3664224337926898,0.28631515727444035,0.339184441931727,0.0,0.15,0.15
54,0.40281811573691284,0.8133668746506081,0.7818474000835391,0.8081635093774607,0.7517198911468305,0.8692739351171802,0.7878346222755668,0.9246238142712694,0.6108246473314679,0.5104697341450058,0.5532080891583286,0.0,0.15,0.15
