step,div_protein,true_label_1,pred_label_1,true_label_2,pred_label_2,true_label_3,pred_label_3,true_label_4,pred_label_4,true_label_5,pred_label_5,true_label_6,pred_label_6,true_label_7,pred_label_7,true_label_8,pred_label_8,true_label_9,pred_label_9,true_label_10,pred_label_10,phase_dna,phase_rna,phase_protein
0,0.3364118390274265,0.7080289787185493,0.7302313297656559,0.28738766126652937,0.4209854035633095,0.223797743058839,0.3055600179331537,0.55195861491892,0.5645919002431596,0.7202250435851512,0.7251686817789074,0.4223446603367688,0.4416743190481999,0.9848055041431598,0.6960485765591284,0.6872483438069281,0.6666671084159099,0.481968016376326,0.4756915135046131,0.3887434335446489,0.3450963400289383,0.0,0.15,0.15
1,0.5667025786843934,0.3470432108183471,0.494177469465819,0.7324170900359543,0.6678492248502482,0.4382875053385308,0.5242057684921518,0.05670738708242325,0.37749452741958406,0.3984259249814671,0.41382407916658626,0.7395357991074247,0.526286914563658,0.17712793917015485,0.26960803041614684,0.17505300496325849,0.1589550748391493,0.5329816725893989,0.5149553399479221,0.5294138046410661,0.5655034423352345,0.0,0.15,0.15
2,0.2511858650784393,0.6446089203070375,0.7105743910513479,0.853375131684469,0.8064155203773826,0.727909481455097,0.6458032203021618,0.6121063158807669,0.7313643166407073,0.723202921045785,0.7615470824640715,0.32146492260706494,0.3574994199569537,0.35853730720562016,0.43306305900841263,0.22815657859139712,0.325727353332835,0.2932922587677716,0.31518976260235426,0.6292438424393678,0.5005245803442173,0.0,0.15,0.15
3,0.46817968576953345,0.09050182215277702,0.3314778170469826,0.4356554925027586,0.44026048003388535,0.43047719623593733,0.5049734518409335,0.49390526877094504,0.5045386274546468,0.42624432586738875,0.4764072767205145,0.31068901954663,0.14145533018216858,0.42386062363921556,0.38882948145867985,0.896961305105725,0.7992532957559235,0.9488033821753924,0.6939204978676713,0.4992167498194561,0.6251566670820319,0.0,0.15,0.15
4,0.41314266306188424,0.6339333584216286,0.5158232390415791,0.1160508825700224,0.18635252929453427,0.31541450455145553,0.4951647949734836,0.4144666380380251,0.5111624126503893,0.8672362750816895,0.7972178826845292,0.24843129147875817,0.22912401346865258,0.4812114089495258,0.5505394404083822,0.9896417209211665,0.8125404072758506,0.5208214556934179,0.45000773332679034,0.6110379598317115,0.581937132417789,0.0,0.15,0.15
5,0.3698182545845784,0.11964678823255886,0.21047359921113973,0.8301736617750229,0.7678692709301471,0.6049266289387398,0.5740381206863936,0.5456659281230244,0.5044269487361924,0.3430811113041613,0.47228601653289615,0.30248906985259116,0.43113393703207126,0.4144216140361189,0.4366720302143267,0.6836998523578991,0.6287135155523965,0.8795652005264675,0.7265140981374605,0.5078614252675188,0.493069192263895,0.0,0.15,0.15
6,0.33953983980448116,0.680282137809982,0.6130747558191019,0.5886192259448668,0.5497037194892246,0.62705567920503,0.635846791163269,0.6762399046632727,0.7123224634481928,0.8432416377384991,0.573362069812491,0.07994805250765093,0.16580028125769197,0.7651665352209643,0.7266051363974911,0.24364491663729068,0.3995320359216732,0.19302641616994923,0.16245336142924632,0.5703224424773479,0.4630470165170185,0.0,0.15,0.15
7,0.42449820461401894,0.0941879709901423,0.309015345712458,0.8894418997456287,0.6833785053524732,0.6294318241767882,0.7440481792366904,0.7253254392766889,0.8823200305994237,0.01606601143002989,0.13400354067579248,0.5949226616057602,0.6281512006924748,0.5558312567343267,0.45577797592751756,0.15846967551684876,0.21902116544365927,0.15155350847364124,0.2501300140685279,0.6942409575109646,0.6206191533222969,0.0,0.15,0.15
8,0.3689204933345641,0.32209994237430845,0.38280968038920354,0.6951602757847322,0.6657903073670186,0.5556131341024182,0.5977382510508231,0.3884007708825939,0.437877435676037,0.9261281258105111,0.8707400815923663,0.8439683684208112,0.767104484619905,0.3540944832771757,0.3445917603340773,0.042463396758619015,0.20628780972198424,0.30443236568752896,0.4264139377100018,0.39485330701052945,0.4949167286625589,0.0,0.15,0.15
9,0.36006796013010534,0.7167035260372326,0.5973057977437186,0.999999989952156,0.950533412858131,0.35454909934234335,0.4501633581784819,0.764744576684333,0.7026050911557006,0.5937858819829896,0.5095023875944429,0.692903733621912,0.5375535237122926,0.14539413300122217,0.24010526317131253,0.3997132968575376,0.4664109921822402,0.2400224932312303,0.22718470456862805,0.33974745279633445,0.28253282498599164,0.0,0.15,0.15
10,0.3792460249177793,0.5206948228416005,0.45799590899106546,0.6696932664646159,0.6539039531148563,0.10127303290692857,0.2781753232040633,0.12844800589719543,0.20481786342294486,0.3222736751362604,0.3935268740092282,0.6625459327668959,0.4671742759901937,0.848965728679179,0.7169939553280505,0.554948226522059,0.6051606555134239,0.8583972811895272,0.6386490538944983,0.38141368929839803,0.3144065169874935,0.0,0.15,0.15
11,0.5111622487215937,0.32007832120949326,0.5071587776036826,0.3558389401646336,0.30078471867590373,0.1672987407256636,0.18150409037994417,0.831798760445398,0.8205054205661345,0.33898335582188466,0.5317888485800116,0.5525533382506588,0.5078116549639358,0.5778539786418184,0.6245132347494582,0.5230484749231427,0.6251475338447607,0.0,0.07590135170954825,0.9890695285992832,0.7967346784940448,0.0,0.15,0.15
12,0.421284143528389,0.9214505602382248,0.8087847255119855,0.20850859621050544,0.12005259234670514,0.2902941423836945,0.43275316136934183,0.5204238574909246,0.5669264113898924,0.9028799602758938,0.9629273185323929,0.9869671505419687,0.969012582984039,0.2530625018775451,0.303596959259228,0.5661113278544673,0.47933308811785175,0.810543712021844,0.7172566036262685,0.39101145218899064,0.3195924348463553,0.0,0.15,0.15
13,0.4068951924518244,0.7433864926727191,0.7646585769643462,0.1617189554475448,0.13712569076682313,0.6025341829055769,0.5287735992842008,0.8688207717752109,0.7970206798449267,0.9845852586163066,0.9999999914366285,0.0760908587995702,0.15476976286763325,0.4258801074962556,0.5462002244284184,0.20430501050039584,0.2145002692129601,0.4514366890460064,0.32455613629824975,0.5454593267439353,0.4756086832382916,0.0,0.15,0.15
14,0.538257879177441,0.09175020244958688,0.3829219253236964,0.2981603973588624,0.36677282704977715,0.9336949998421696,0.7774524091212967,0.5697776207993857,0.584670188667993,0.45786282031679165,0.4907608328864051,0.7551799302577866,0.6501460820277684,0.7430887583324706,0.7293474702326669,0.04747855191884617,0.17637491594269555,0.7115071653413471,0.5856951689584206,0.8389425986596613,0.7951861393521044,0.0,0.15,0.15
15,0.3731851547102672,0.1659428305494108,0.13719881865835123,0.7846138612913982,0.6439251917874761,0.28426349321695515,0.27783194076947026,0.3053135777567311,0.33866788911339074,0.6659543967907942,0.5906084508635154,0.10835138897903086,0.1963377728636201,0.6651919769997934,0.7077651576380544,0.891398335267428,0.8614265861030564,0.6990245849085766,0.5212909643949573,0.43728516765234304,0.39275675133092586,0.0,0.15,0.15
16,0.5432837566672641,0.4441494487589607,0.5306094209414206,0.7686359378996547,0.7283697701849319,0.5670191321709985,0.6690083584625758,0.08211910902211082,0.18888119357445626,0.5832678158104647,0.5927250790597473,0.8169459439512506,0.7157829120500949,0.33352376184006965,0.4187332427837901,0.9313378112775017,0.750922388136185,0.753853985226415,0.5711023739099866,0.5719403549986009,0.4488238459313168,0.0,0.15,0.15
17,0.33241877040927276,0.7644054761308303,0.707452806263432,0.0794069642007581,0.25337676082816935,0.8646079510971547,0.8966959701699019,0.8241343037549379,0.7595763022742231,0.9108495195816746,0.874286412306513,0.1257164515933921,0.042745379477410424,0.07522973004882787,0.20912951513602646,0.13781197542797183,0.2637644373872526,0.3997797541432188,0.4511804584294648,0.42115403103991494,0.41226593379126875,0.0,0.15,0.15
18,0.4531148913359456,0.5708542209006606,0.6307063602996713,0.12270773445209365,0.18804712371350998,0.19801291982778632,0.29343005990608306,0.8142020530339368,0.6692216787147085,0.4684507155657878,0.4473528402276238,0.8099899636001421,0.857492101175092,0.0,0.22471672496873318,0.5532744007442736,0.587506149011141,0.9364802912019833,0.7896388663826176,0.5801077446031176,0.5563120264493285,0.0,0.15,0.15
19,0.36768967105741995,0.206975302154326,0.23034318651857338,0.7210709188956912,0.5399311191155866,0.3779218150953457,0.38654862308093785,0.6698884478504424,0.7004041271253846,0.02927189229666537,0.11487903978154233,0.6366943228471298,0.6790926559428423,0.025063410241611083,0.21013724311343457,0.7475308473280275,0.6965485979861298,0.47388667237398224,0.5230039928469072,0.11652191988080078,0.24143953060837042,0.0,0.15,0.15
20,0.3931503723550128,0.5508452667458006,0.5728374410779938,0.06697324215912384,0.026876752145491355,0.655889277898958,0.5678244964085883,0.9999999899264832,0.8907318927703746,0.7702115687780379,0.709571817378712,0.5741138642643829,0.6788811818963525,0.09633061390625794,0.12194744836901523,0.702335668589185,0.6562518439537219,0.6636075153786666,0.4900159386192785,0.04336528297697567,0.11224742829178726,0.0,0.15,0.15
21,0.33567607642413877,0.8059462523244538,0.8152734808412821,0.5210776577032169,0.46693385314364644,0.4254167995476348,0.49551556336012953,0.7905724287857242,0.7362176337260514,0.4119666471060617,0.41857470764032084,0.48068793486023653,0.4335343459320819,0.17625488500790948,0.33605088140383305,0.3217269357079477,0.39525265365239454,0.8494083323851133,0.8357202375869425,0.1821191200383261,0.30091207221984784,0.0,0.15,0.15
22,0.37046132887067384,0.4227704202282847,0.5214574955344224,0.9936457589470049,0.7227179675278977,0.2336735942179646,0.18549838296148083,0.9201633457495614,0.9134179851050802,0.9193852588676918,0.8282096420280873,0.08810863640777238,0.15900114622427958,0.46160151989727466,0.44831237581810046,0.5036249105488662,0.5532639963178784,0.3134025552176338,0.36930088630460467,0.04159560871046126,0.014183830165106956,0.0,0.15,0.15
23,0.32994091239961904,0.24334035180673233,0.26985238766742203,0.09586601659742543,0.005570625341660777,0.23534526882966844,0.32049606093270144,0.8103204631034722,0.6475501659506468,0.8959387996577008,0.8171715043554432,0.0396837151711663,0.1416179639042726,0.2979904427131284,0.5166279968991567,0.9846366030000926,0.8905738382868323,0.5409970563814641,0.569900657899266,0.6245450031369468,0.5606096011735424,0.0,0.15,0.15
24,0.44028517995660926,0.0020570444067072543,0.164766735437948,0.4871087636481641,0.45407670804251943,0.9952337330583444,0.8798063297381359,0.3745345280689446,0.5308687404384131,0.09706920829624795,0.19483026417227986,0.4614306503457003,0.4783376124726868,0.9668365299025637,0.8026558149183101,0.3423520995248674,0.3763804837207957,0.8024351056864799,0.8364233852307348,0.7982679117182009,0.6677065549216613,0.0,0.15,0.15
25,0.31752318517881695,0.20917475390016912,0.4109789051190253,0.4453682700779782,0.3936514545186565,0.7189396348627136,0.7511883493558223,0.4101285520424679,0.49456897238744546,0.19114746240848998,0.21123762014364966,0.970712595860135,0.9280019070005064,0.6509035109378464,0.5185137267871692,0.8688775172136194,0.8212911878565219,0.02272992797317262,0.12869453804147468,0.26267108298570924,0.2889137877484291,0.0,0.15,0.15
26,0.45365577151566516,0.5093969489404803,0.6505700065836378,0.06765065966175635,0.11177885677209705,0.9999999898692159,0.9018338441166693,0.23479154916568215,0.3719736679669222,0.3746461849433221,0.4728299170416634,0.21172139828524633,0.2890580863061723,0.09917433484612022,0.22263773331019823,0.23239645497147463,0.25146078056559706,0.30024204909373675,0.3366563386789802,0.6327338111503307,0.4903020318466105,0.0,0.15,0.15
27,0.634706586550955,0.28375086705932523,0.30189295815024203,0.3638893584975818,0.3139496128499686,0.0,0.1187387843488732,0.3649985325893212,0.3855673932715136,0.5344258834441611,0.4446158227675949,0.1593451704837093,0.14626471945547928,0.5969580788503425,0.5732023739287171,0.2934047170302142,0.3968393763737875,0.6342634001063887,0.5530106716812728,0.020307350018572732,0.007560273746756972,0.0,0.15,0.15
28,0.24449587067838602,0.903315895276017,0.8812703717159113,0.016075072149937277,0.10010779872807167,0.12259787346404447,0.1768254312733614,0.7794666666357847,0.6861963300356725,0.045866709203921746,0.054635822463693265,0.7123417105720977,0.6174172006722692,0.9749729499268351,0.9999999929342571,0.8751350185360216,0.7235522969021217,0.7129828236697928,0.6297305607286051,0.9590287757420822,0.7417035775560651,0.0,0.15,0.15
29,0.16278786223613528,0.4355654294546089,0.44825167242076874,0.8769344321161745,0.7426571563064502,0.35459246138392353,0.45997896382626646,0.93318973259887,0.8802316403375092,0.14886897345725889,0.19765581177949926,0.943046501737053,0.8931928152864101,0.8350132291588995,0.8023834743261877,0.849365175261891,0.7076015941210565,0.12217902587763321,0.18839713102479977,0.5945175539920762,0.46674821319236975,0.0,0.15,0.15
30,0.3011804470368005,0.013140363559093527,0.21529656445741435,0.7245141178353669,0.7318974272011323,0.0018181418364612762,0.14711458130736904,0.08203662127798782,0.22150321444155302,0.2256790940622346,0.23070067912015335,0.877667495759416,0.7768494425616369,0.3603460314748422,0.47264576737035296,0.5415772693104628,0.49684734211478615,0.5698181489829272,0.5012081291353851,0.22094377229605996,0.1101079747391207,0.0,0.15,0.15
31,0.47432967991827535,0.5809988481335374,0.625255255892872,0.6639933706523556,0.5361394229102446,0.2961254019778469,0.24834109270875257,0.41829522619278553,0.5165676501586103,0.45353471170768445,0.48620477198060663,0.9353120109318884,0.8103905428975449,0.586901614276966,0.5581145689178636,0.9521279605896592,0.9999999927304045,0.5576557094406979,0.473190364412325,0.49793272927277626,0.4316209102079414,0.0,0.15,0.15
32,0.32888399982916294,0.0,0.19013692497840373,0.4830691289176395,0.474960969826,0.9335640679782675,0.9371783141993946,0.19641476731813592,0.33868933605506224,0.0520698285446879,0.18814255744734634,0.4058977207680823,0.4406892530808383,0.36927011158892364,0.4704675068880555,0.8605247789017757,0.7721258289907175,0.024109344521227857,0.08696738656869818,0.9204045901090108,0.7449068379461653,0.0,0.15,0.15
33,0.4577481087683868,0.6921237642380309,0.7414602234165028,0.9084314885402571,0.7170931390085247,0.6094540180064393,0.6578207944905958,0.8145132885906122,0.8376138744375478,0.3358527410653565,0.42928301749335784,0.3482667662421807,0.3484851614371416,0.38695378090435906,0.4733047805478465,0.7576026743537833,0.6464405281757664,0.369457920870434,0.40402935235041615,0.23781539451912498,0.17010815965808915,0.0,0.15,0.15
34,0.4949221249817066,0.9544814110456623,0.95106077138991,0.9122346874871441,0.8733835372039513,0.34733846348456954,0.42348649773746566,0.6358944820697822,0.6065782525497762,0.27407920742459874,0.37796028671276233,0.203766877681429,0.08820428355015017,0.3327883437259438,0.45394876230018866,0.3275399033399328,0.4031536734836123,0.8864375628513091,0.8251037561283134,0.8218866310871739,0.7050169335696795,0.0,0.15,0.15
35,0.3748921882603603,0.721469513637061,0.862190030187294,0.9638144316806369,0.7967617232864074,0.42204898136230995,0.49896547495931004,0.24342520011545438,0.2910873624423833,0.11745320304869808,0.17102803425272786,0.29939921264938946,0.37605562399581954,0.139461329389439,0.30863180053898936,0.09132680598555189,0.3642953928050382,0.6049183520579233,0.4982741426907659,0.3606213867749494,0.43659761544901854,0.0,0.15,0.15
36,0.48847682509983087,0.573257409984881,0.5785097627814607,0.1921304694916988,0.16525168793023004,0.6797381448790708,0.5312021140643907,0.21368053152923908,0.3431527328024531,0.2782654601018305,0.27607528782479196,0.7433283420345034,0.7545384984723581,0.5588187481826669,0.523135278884168,0.33531921408425697,0.3621043892273966,0.5445081466593163,0.5045203086650971,0.6926855131817106,0.7185813213643367,0.0,0.15,0.15
37,0.17304982266638602,0.9283890025426113,0.7976268025146432,0.5833708962809574,0.6354063758441638,0.22970897992922068,0.3658460495607104,0.7487778682535384,0.7043355773536019,0.7785930008172707,0.8025165741856216,0.19801128951087815,0.20871440120804108,0.8227281970424302,0.9043517579004174,0.46613722704688376,0.4821473848730564,0.7831298624410108,0.6705871641364025,0.23304121654940335,0.22291227757550514,0.0,0.15,0.15
38,0.48345327309752073,0.33621464796412664,0.2750409860784322,0.9581393029668511,0.8472726508068822,0.6603976812563036,0.6600872699625022,0.7751505363441258,0.8443773917514161,0.6890941971632489,0.7108658278435167,0.20194262628533677,0.219647834830248,0.46872044057305706,0.5001681647634068,0.8120690606093504,0.7629442926017378,0.677582762056649,0.5530882494441756,0.0,0.12080146430802778,0.0,0.15,0.15
39,0.4799303373259106,0.08570232100991904,0.3354917982227418,0.3483332456003109,0.32457525157127154,0.9506957720116793,0.9679965311867675,0.4913923124798155,0.5946991958602115,0.27040899301147114,0.3564744797527063,0.3592036381701813,0.37503109530339446,0.20562062269785605,0.3353006786255677,0.4221605334633973,0.44299718652152437,0.21702432763006468,0.36048800600853165,0.8454964990999015,0.6558313037891174,0.0,0.15,0.15
40,0.3900567138209857,0.46259892352556664,0.5991755231321598,0.281020024552738,0.42364280173142754,0.939071820285529,0.8396015945891323,0.3132531210340201,0.48582053499784944,0.9106923391398172,0.8717692119529532,0.03988034118573251,0.10488724639461866,0.7079322830184607,0.6580869471960411,0.48519624646039233,0.3910126268510555,0.444971301637674,0.44123095543061075,0.03050369562588613,0.19930817033303616,0.0,0.15,0.15
