phase,phase_name,divergence
0,Stable,-0.12608839543350453
0,Stable,0.09178619470547761
0,Stable,0.21221561970126335
0,Stable,0.1032465260551147
0,Stable,-0.15193699659540136
0,Stable,-0.04842340728662514
0,Stable,0.12669111491866228
0,Stable,-0.07076694656187808
0,Stable,0.04438194281462285
0,Stable,0.07746340534293368
0,Stable,-0.0926930471578083
0,Stable,-0.005952535606180008
0,Stable,-0.3241267340069073
0,Stable,-0.10243876413342899
0,Stable,-0.025256815139316033
0,Stable,-0.12477831819648495
0,Stable,0.16324113039316354
0,Stable,-0.14301413779606328
0,Stable,-0.04400444866969838
0,Stable,0.013074057728609135
0,Stable,0.14412732890661156
0,Stable,-0.14358621511794395
0,Stable,0.11631637521549597
0,Stable,0.001023306101958705
0,Stable,-0.0981508651047951
0,Stable,0.04621034742632708
0,Stable,0.019905969557347004
0,Stable,-0.06002168771587947
0,Stable,0.006980208499001892
0,Stable,-0.03853135968617602
0,Stable,0.011351734525124805
0,Stable,0.06621306745210467
0,Stable,0.15860168161453522
0,Stable,-0.12378154988268492
0,Stable,0.21330333746562669
0,Stable,-0.1952087799522502
0,Stable,-0.015178509503558334
0,Stable,0.05883172064845765
0,Stable,0.028099186773503267
0,Stable,-0.06226995198205938
0,Stable,-0.020812225035727522
0,Stable,-0.049300093465883287
0,Stable,-0.058936475694421155
0,Stable,0.08496020970210247
0,Stable,0.035701548596504734
0,Stable,-0.06929095952606543
0,Stable,0.08995998754332507
0,Stable,0.030729952087660935
0,Stable,0.08128621188389601
0,Stable,0.06296288419236122
1,Doubt,0.9171004989077928
1,Doubt,0.943981895980303
1,Doubt,1.0747293605123263
1,Doubt,1.0610370265433464
1,Doubt,0.9979098406035852
1,Doubt,1.0117327383308783
1,Doubt,1.1277664895788424
1,Doubt,0.940842861116417
1,Doubt,1.0547097381170039
1,Doubt,0.9797807347566105
1,Doubt,0.978231879677278
1,Doubt,1.109877685198719
1,Doubt,1.082541634898803
1,Doubt,1.0813509636000638
1,Doubt,1.130547880715433
1,Doubt,1.0021003841632758
1,Doubt,1.0681952971294963
1,Doubt,0.9689733243406544
1,Doubt,1.0324166352488442
1,Doubt,0.9869856945632316
1,Doubt,1.0096995964992719
1,Doubt,1.0595157025436914
1,Doubt,0.9181779316766527
1,Doubt,1.2092387275685461
1,Doubt,0.8993982618500298
1,Doubt,0.8785811387212268
1,Doubt,1.1158110873500067
1,Doubt,1.0791662693962936
1,Doubt,1.0624119817052156
1,Doubt,1.062834550926428
1,Doubt,0.9987753227153086
1,Doubt,0.9102745628514168
1,Doubt,1.0075804558193726
1,Doubt,0.9322838288487888
1,Doubt,1.097511973341775
1,Doubt,0.9852942618497862
1,Doubt,0.9174502803207488
1,Doubt,0.9678614158347006
1,Doubt,1.0412931454275625
1,Doubt,0.9436275447196025
1,Doubt,0.9177779604433569
1,Doubt,1.0243687211491912
1,Doubt,1.0244966571108722
1,Doubt,0.949305682462887
1,Doubt,0.9528961694381677
